"date","username","role","classId","className","type","data"
"Mon Feb 26 2018 20:39:30 GMT+0330 (+0330)","null","teacher",0,"null","Access","NOT Authenticated / RFID"
"Mon Feb 26 2018 20:39:38 GMT+0330 (+0330)","null","teacher",0,"null","Access","NOT Authenticated / RFID"
"Mon Feb 26 2018 20:39:41 GMT+0330 (+0330)","null","teacher",0,"null","Access","NOT Authenticated / RFID"
"Mon Feb 26 2018 20:45:30 GMT+0330 (+0330)","null","teacher",0,"null","Access","NOT Authenticated / RFID"
"Tue Feb 27 2018 13:46:23 GMT+0330 (+0330)","akbar","Admin",0,"null","Admin","Create"
"Tue Feb 27 2018 13:48:15 GMT+0330 (+0330)","sabeti","Admin",0,"null","Admin","Create"
"Tue Feb 27 2018 13:50:57 GMT+0330 (+0330)","alrez","Admin",0,"null","Admin","Create"
"Tue Feb 27 2018 13:51:05 GMT+0330 (+0330)","negar","Admin",0,"null","Admin","Create"
"Tue Feb 27 2018 13:56:17 GMT+0330 (+0330)",,"Admin",210,,"Admin","Create"
"Tue Feb 27 2018 13:56:57 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","open"
"Tue Feb 27 2018 14:00:31 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","close"
"Tue Feb 27 2018 14:00:37 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","open"
"Tue Feb 27 2018 14:01:47 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","close"
"Tue Feb 27 2018 14:02:06 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","open"
"Tue Feb 27 2018 14:22:51 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 14:33:34 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:34:20 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:34:40 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:36:43 GMT+0330 (+0330)","alrez","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:37:07 GMT+0330 (+0330)","sabeti","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:37:14 GMT+0330 (+0330)","negar","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:46:41 GMT+0330 (+0330)","akbar","Admin",0,"null","Admin","Create"
"Tue Feb 27 2018 14:46:54 GMT+0330 (+0330)","negar","Admin",0,"null","Admin","Create"
"Tue Feb 27 2018 14:47:05 GMT+0330 (+0330)","alrez","Admin",0,"null","Admin","Create"
"Tue Feb 27 2018 14:47:19 GMT+0330 (+0330)","sabi","Admin",0,"null","Admin","Create"
"Tue Feb 27 2018 14:47:28 GMT+0330 (+0330)","negar","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:47:57 GMT+0330 (+0330)","null","teacher",0,"null","Access","NOT Authenticated / RFID"
"Tue Feb 27 2018 14:49:48 GMT+0330 (+0330)","alrez","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:50:37 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:50:46 GMT+0330 (+0330)","sabi","teacher",0,"null","Access","RFID-Sample"
"Tue Feb 27 2018 14:51:36 GMT+0330 (+0330)",,"Admin",210,,"Admin","Create"
"Tue Feb 27 2018 15:00:37 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:00:57 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:01:01 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:06:18 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:06:21 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:08:05 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:08:10 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:08:13 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:08:13 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:08:56 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:08:59 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:10:56 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:10:58 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:11:18 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:13:36 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:13:51 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:13:54 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:13:54 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:13:54 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:13:55 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:13:55 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:13:55 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:13:56 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:14:20 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:14:21 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:14:23 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:14:29 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:14:42 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","O"
"Tue Feb 27 2018 15:14:49 GMT+0330 (+0330)","naseh","Admin",210,"null","Command","F"
"Tue Feb 27 2018 15:15:21 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","Authenticated / RFID"
"Tue Feb 27 2018 15:15:22 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Access","Authorized"
"Tue Feb 27 2018 15:15:25 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Command","open"
"Tue Feb 27 2018 15:15:38 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","Authenticated / RFID"
"Tue Feb 27 2018 15:15:38 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Access","Authorized"
"Tue Feb 27 2018 15:15:40 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Command","close"
"Tue Feb 27 2018 15:17:15 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","Authenticated / RFID"
"Tue Feb 27 2018 15:17:15 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Access","Authorized"
"Tue Feb 27 2018 15:17:20 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Command","open"
"Tue Feb 27 2018 15:18:33 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","Authenticated / RFID"
"Tue Feb 27 2018 15:18:33 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Access","Authorized"
"Tue Feb 27 2018 15:18:35 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Command","open"
"Tue Feb 27 2018 15:20:07 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Command","open"
"Tue Feb 27 2018 15:20:16 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Command","open"
"Tue Feb 27 2018 15:21:58 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","Authenticated / RFID"
"Tue Feb 27 2018 15:21:58 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Access","Authorized"
"Tue Feb 27 2018 15:22:01 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Command","open"
"Tue Feb 27 2018 15:23:03 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","Authenticated / RFID"
"Tue Feb 27 2018 15:23:03 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Access","Authorized"
"Tue Feb 27 2018 15:23:04 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Command","open"
"Tue Feb 27 2018 15:27:26 GMT+0330 (+0330)","akbar","teacher",0,"null","Access","Authenticated / RFID"
"Tue Feb 27 2018 15:27:26 GMT+0330 (+0330)","akbar","teacher",210,"Az Riz","Access","Authorized"
"Tue Feb 27 2018 15:27:41 GMT+0330 (+0330)","sabi","teacher",0,"null","Access","Authenticated / RFID"
