"date","username","role","classId","className","type","data"
"Sun May 27 2018 12:21:00","sabet","superuser",0,"null","Access","Authenticated / RFID : 1513216011798"
"Sun May 27 2018 12:21:05","Naseh","Admin",205,"null","Command","close"
"Sun May 27 2018 12:21:07","Naseh","Admin",205,"null","Command","open"
"Sun May 27 2018 12:21:08","Naseh","Admin",202,"null","Command","close"
"Sun May 27 2018 12:21:10","Naseh","Admin",202,"null","Command","open"
"Sun May 27 2018 12:21:13","Naseh","Admin",207,"null","Command","open"
"Sun May 27 2018 12:21:17","Naseh","Admin",209,"null","Command","open"
"Sun May 27 2018 12:21:30","Dr","Admin",2062,,"Admin","Edit"
"Sun May 27 2018 12:22:10",,"Admin",,,"define","remove student : test1"
"Sun May 27 2018 12:22:12",,"Admin",,,"define","remove student : test2"
"Sun May 27 2018 12:40:23","Naseh","admin",0,"null","Access","Authenticated / RFID : 1354144117102"
"Sun May 27 2018 12:41:48","Naseh","Admin",205,"null","Command","close"
"Sun May 27 2018 12:41:53","Naseh","Admin",205,"null","Command","open"
"Sun May 27 2018 12:41:54","Naseh","Admin",205,"null","Command","close"
"Sun May 27 2018 13:09:18",,"Admin",,,"define","remove student : test1"
"Sun May 27 2018 13:09:35",,"Admin",,,"define","remove student : test1"
"Sun May 27 2018 13:09:36",,"Admin",,,"define","remove student : test2"
"Sun May 27 2018 13:22:22",,"Admin",,,"define","remove student : test1"
"Sun May 27 2018 13:22:24",,"Admin",,,"define","remove student : test2"
"Sun May 27 2018 13:22:54","Adelpour","Admin",0,"null","Admin","Edit"
"Sun May 27 2018 13:24:14","test1","Admin",0,"null","Admin","Create"
"Sun May 27 2018 13:24:27",,"Admin",206,,"Admin","Create"
"Sun May 27 2018 13:24:58","Dr.","Admin",206,,"Admin","Edit"
"Sun May 27 2018 13:25:22","test1","Admin",226,,"Admin","Edit"
"Sun May 27 2018 13:27:46","Admin","Admin",0,"5o2wsQlGujJU7HVs","Admin","Delete"
"Sun May 27 2018 13:28:09","Dr","Admin",226,,"Admin","Edit"
"Sun May 27 2018 13:29:17","sabet","superuser",0,"null","Access","Authenticated / RFID : 63201221137162"
"Sun May 27 2018 13:29:21","Naseh","Admin",206,"null","Command","open"
"Sun May 27 2018 13:32:25","Dr Afjeii , Dr Hamzeh","Admin",0,"null","Admin","Edit"
"Sun May 27 2018 13:33:00","Elec , Com Dep","Admin",0,"null","Admin","Create"
"Sun May 27 2018 13:33:24",,"Admin",213,,"Admin","Create"
"Sun May 27 2018 13:33:31","Elec","Admin",213,,"Admin","Edit"
"Sun May 27 2018 13:34:00","Elec","Admin",213,,"Admin","Edit"
"Sun May 27 2018 13:34:23","test","Admin",0,"null","Admin","Create"
"Sun May 27 2018 13:34:49",,"Admin",,,"define","assign student : test"
"Sun May 27 2018 13:34:57",,"Admin",,,"define","remove student : test"
"Sun May 27 2018 13:35:08",,"Admin",,,"define","assign student : test"
"Sun May 27 2018 13:35:13",,"Admin",,,"define","assign student : test"
"Sun May 27 2018 13:35:20","Dr. Mazloom Nezhad","teacher",0,"null","Access","Authenticated / RFID : 672091180228"
"Sun May 27 2018 13:35:20","Dr. Mazloom Nezhad","teacher",205,"Microprossesor Lab","Access","Authorized"
"Sun May 27 2018 13:35:22","Dr. Mazloom Nezhad","teacher",205,"Microprossesor Lab","Command","open"
"Sun May 27 2018 13:35:22","Dr. Mazloom Nezhad","teacher",205,,"logout","before time"
"Sun May 27 2018 13:35:20","Dr. Mazloom Nezhad","teacher",205,"Microprossesor Lab","Access","logged out"
"Sun May 27 2018 13:35:29",,"Admin",,,"define","remove student : test"
